ID,Nombre Producto,Descripscion,Categoria,Marca,Talla ,Color,Material,Condicion,Fecha Compra,Fecha Venta,Proveedor ,Precio Compra,Precio Venta,Stock,Notas,ID
78,"Camisa manga corta con bolsillo a  cuadros Zara Boys Rosa, Azul, Blanco ","Camisa manga corta con bolsillo a cuadros Zara Boys Rosa, Azul, Blanco
(ID: 78)

🎨 Color: Rosa, Azul, Blanco
📏 Medidas:
🔹 Ancho: 36 cm
🔹 Largo: 61 cm
(Para más medidas, no dudes en preguntar)

👚 Talla: 9-10a 140

✨ Estado: B+. Muy buen estado.

🎯 Descuento: -5% para seguidores

🚚 Envío rápido: Realizado dentro de las 48h posteriores a la compra.

💸 Gastos de envío: Ajustados al mínimo posible.

✅ Lotes personalizados: Si deseas crear un lote, envíame la solicitud con los productos que quieras. ¡Yo me encargo!

#CamisaCuadros #ZaraBoysFashion #MangaCorta #CuadrosRosaAzulBlanco #EstiloZaraBoys #RopaVerano #FashionCuadros #CamisaZaraBoys #BolsilloEnCamisa #VintedFashion #WallapopStyle #RosaAzulBlancoStyle #RopaCasual #EstiloVerano #CamisaColorida

Zara Boys Short Sleeve Plaid Shirt Pink, Blue, White
(ID: 78)

🎨 Color: Pink, Blue, White
📏 Measurements:
🔹 Width: 36 cm
🔹 Length: 61 cm
(For more measurements, feel free to ask)

👚 Size: 9-10a 140

✨ Condition: B+. Very good condition.

🎯 Discount: -5% for followers

🚚 Fast shipping: Shipped within 48 hours after purchase.

💸 Shipping costs: Adjusted to the minimum possible.

✅ Custom bundles: If you'd like to create a bundle, send me a request with the products you want. I'll take care of the rest!

#PlaidShirt #ZaraBoysFashion #ShortSleeveShirt #PinkBlueWhitePlaid #ZaraBoysStyle #SummerClothing #PlaidFashion #ZaraBoysShirt #PocketShirt #VintedFashion #WallapopStyle #PinkBlueWhiteStyle #CasualWear #SummerStyle #ColorfulShirt",1.3.1 Camisas manga corta ,Zara Boys,"9-10a 140
Axila a Parte baja= 35,5cm
Cuello a Parte baja= 57cm
Espalda a Parte baja= 61cm
Hombro a Hombro= 35,5cm
Cintura= 42cm
Manga largo= 20cm
Manga ancho= 15cm","Rosa, Azul, Blanco ",,B,02/02/23,,Familiares,"0,00€",,1,"Semi Nueva sin desperfectos, peso: 0,205",78
79,Camisa de tres botones manga larga con bolsillo Blanco,"Camisa de tres botones manga larga con bolsillo Blanco
(ID: 79)

🎨 Color: Blanco
📏 Medidas:
🔹 Ancho: 46 cm
🔹 Largo: 66 cm
(Para más medidas, no dudes en preguntar)

👚 Talla: 10-12a

✨ Estado: B+. Muy buen estado.

🎯 Descuento: -5% para seguidores

🚚 Envío rápido: Realizado dentro de las 48h posteriores a la compra.

💸 Gastos de envío: Ajustados al mínimo posible.

✅ Lotes personalizados: Si deseas crear un lote, envíame la solicitud con los productos que quieras. ¡Yo me encargo!

#CamisaMangaLarga #TresBotones #BolsilloBlanco #EstiloCasual #RopaBlanca #FashionBlanco #CamisaBlanca #MangaLargaBlanca #RopaConEstilo #VintedFashion #WallapopStyle #EstiloElegante #BolsilloEnCamisa #ModaBlanca #CamisaBotones

Three-Button Long Sleeve Shirt with Pocket White
(ID: 79)

🎨 Color: White
📏 Measurements:
🔹 Width: 46 cm
🔹 Length: 66 cm
(For more measurements, feel free to ask)

👚 Size: 10-12a

✨ Condition: B+. Very good condition.

🎯 Discount: -5% for followers

🚚 Fast shipping: Shipped within 48 hours after purchase.

💸 Shipping costs: Adjusted to the minimum possible.

✅ Custom bundles: If you'd like to create a bundle, send me a request with the products you want. I'll take care of the rest!

#LongSleeveShirt #ThreeButtons #PocketShirt #WhiteShirt #CasualStyle #WhiteClothing #FashionWhite #WhiteLongSleeve #ShirtWithPocket #VintedFashion #WallapopStyle #ElegantStyle #ButtonShirt #WhiteFashion",1.2.2 Camisetas manga larga ,Sin Marca,"10-12a
L= 63,5cm
A= 40cm
Axila a Parte baja= 40cm
Cuello a Parte baja= 55,5cm
Espalda a Parte baja= 66cm
Hombro a Hombro= 42,5cm
Cintura= 49cm
Manga largo= 60,5cm
Manga ancho= 11cm",Blanco,,B,02/02/23,,Familiares,"0,00€",,1,"Semi Nueva sin desperfectos, peso: 0,344",79
80,Camisa tres  botones con capucha manga larga con bolsillo Zara Kids Azul,"Camisa tres  botones con capucha manga larga con bolsillo Zara Kids Azul
80)
🎁-5% para seguidores

📏Talla del Articulo : 9-10a

🎨Color : Azul 

🔎Estado : B+. Muy buen estado

📐Medidas :

Ancho : 36cm
Largo : 57cm

(Para más medidas no dudéis en preguntar)

🚚El envió se realiza dentro de las 48h posteriores a la compra:

🤝Gastos de envío ajustados al mínimo

✅Para hacer un lote envíame la solicitud de los productos que deseas
Yo me encargo
#CamisaMangaLarga
#TresBotones
#CapuchaAzul
#BolsilloEnCamisa
#EstiloZaraKids
#RopaInfantil
#FashionAzul
#CamisaConCapucha
#ZaraKidsStyle
#VintedKids
#WallapopStyle
#RopaCasualInfantil
#AzulKidsFashion
#CamisaConBolsillo
#EstiloMangaLarga",1.3.2 Camisas manga larga ,Zara Kids ,"9-10a
Axila a Parte baja= 31,5cm
Cuello a Parte baja= 50cm
Espalda a Parte baja= 57cm
Hombro a Hombro= 36cm
Cintura= 44cm
Manga largo= 55cm
Manga ancho= 11,5cm",Azul,,B,02/02/23,30/3/24,Familiares,"0,00€","1,25 €",1,"Semi Nueva sin desperfectos, peso: 0,478.
Por Vinted 18,81€ de un lote de 17,25€ 3 articulos",80
81,"Camisa manga larga con bolsillo a  rayas Massimo Dutti Azul, Blanco","Camisa manga larga con bolsillo a rayas Massimo Dutti Azul, Blanco
(ID: 81)

🎨 Color: Azul, Blanco
📏 Medidas:
🔹 Ancho: 38 cm
🔹 Largo: 58 cm
(Para más medidas, no dudes en preguntar)

👚 Talla: 11-12a

✨ Estado: B+. Muy buen estado.

🎯 Descuento: -5% para seguidores

🚚 Envío rápido: Realizado dentro de las 48h posteriores a la compra.

💸 Gastos de envío: Ajustados al mínimo posible.

✅ Lotes personalizados: Si deseas crear un lote, envíame la solicitud con los productos que quieras. ¡Yo me encargo!

#CamisaMangaLarga #RayasAzulBlanco #MassimoDuttiFashion #BolsilloEnCamisa #EstiloMassimoDutti #RopaInvierno #FashionRayas #CamisaAzulBlanca #RayasMassimoDutti #VintedFashion #WallapopStyle #AzulBlancoStyle #RopaCasual #EstiloInvernal #CamisaRayada

Long Sleeve Striped Shirt with Pocket Massimo Dutti Blue, White
(ID: 81)

🎨 Color: Blue, White
📏 Measurements:
🔹 Width: 38 cm
🔹 Length: 58 cm
(For more measurements, feel free to ask)

👚 Size: 11-12a

✨ Condition: B+. Very good condition.

🎯 Discount: -5% for followers

🚚 Fast shipping: Shipped within 48 hours after purchase.

💸 Shipping costs: Adjusted to the minimum possible.

✅ Custom bundles: If you'd like to create a bundle, send me a request with the products you want. I'll take care of the rest!

#LongSleeveShirt #BlueWhiteStripes #MassimoDuttiFashion #ShirtWithPocket #MassimoDuttiStyle #WinterClothing #StripedFashion #BlueWhiteShirt #VintedFashion #WallapopStyle #CasualStyle #WinterStyle #StripedShirt #FashionMassimoDutti",1.3.2 Camisas manga larga ,Massimo Dutti,"11-12a
Axila a Parte baja= 34,5cm
Cuello a Parte baja= 53cm
Espalda a Parte baja= 58cm
Hombro a Hombro= 38cm
Cintura= 48cm
Manga largo= 55cm
Manga ancho= 10cm","Azul, Blanco",,B,02/02/23,,Familiares,"0,00€",,1,"Semi Nueva sin desperfectos, peso: 0,417",81
82,"Camisa de tres botones manga larga a rayasFabiridia Rojo, Negro","Camisa de tres botones manga larga a rayas Fabiridia Rojo, Negro
(ID: 82)

🎨 Color: Rojo, Negro
📏 Medidas:
🔹 Ancho: 28 cm
🔹 Largo: 52 cm
(Para más medidas, no dudes en preguntar)

👚 Talla: 2-3a

✨ Estado: B+. Muy buen estado.

🎯 Descuento: -5% para seguidores

🚚 Envío rápido: Realizado dentro de las 48h posteriores a la compra.

💸 Gastos de envío: Ajustados al mínimo posible.

✅ Lotes personalizados: Si deseas crear un lote, envíame la solicitud con los productos que quieras. ¡Yo me encargo!

#CamisaMangaLarga #TresBotones #RayasRojoNegro #EstiloFabiridia #RopaInvierno #FashionRayas #CamisaRojaNegra #RayasFabiridia #VintedFashion #WallapopStyle #RojoNegroStyle #RopaCasual #EstiloInvernal #CamisaRayada #ModaFabiridia

Long Sleeve Shirt with Three Buttons Stripes Fabiridia Red, Black
(ID: 82)

🎨 Color: Red, Black
📏 Measurements:
🔹 Width: 28 cm
🔹 Length: 52 cm
(For more measurements, feel free to ask)

👚 Size: 2-3a

✨ Condition: B+. Very good condition.

🎯 Discount: -5% for followers

🚚 Fast shipping: Shipped within 48 hours after purchase.

💸 Shipping costs: Adjusted to the minimum possible.

✅ Custom bundles: If you'd like to create a bundle, send me a request with the products you want. I'll take care of the rest!

#LongSleeveShirt #ThreeButtons #RedBlackStripes #FabiridiaStyle #WinterClothing #StripedFashion #RedBlackShirt #FabiridiaStripes #VintedFashion #WallapopStyle #RedBlackStyle #CasualStyle #WinterStyle #StripedShirt #FabiridiaFashion",1.3.2 Camisas manga larga ,Fabiridia,"2-3a
Axila a Parte baja= 35cm
Cuello a Parte baja= 44cm
Espalda a Parte baja= 51,5cm
Hombro a Hombro= 28cm
Cintura= 36cm
Manga largo= 38cm
Manga ancho= 11cm","Rojo, Negro",,B,02/02/23,,Familiares,"0,00€",,1,"Semi Nueva sin desperfectos, peso: 0,161",82
83,"Camisa manga larga con bolsillos a cuadros Boyzone Amarillo, Negro","Camisa manga larga con bolsillos a cuadros Boyzone Amarillo, Negro
(ID: 83)

🎨 Color: Amarillo, Negro
📏 Medidas:
🔹 Ancho: 33 cm
🔹 Largo: 55 cm
(Para más medidas, no dudes en preguntar)

👚 Talla: 9-10a

✨ Estado: B+. Muy buen estado.

🎯 Descuento: -5% para seguidores

🚚 Envío rápido: Realizado dentro de las 48h posteriores a la compra.

💸 Gastos de envío: Ajustados al mínimo posible.

✅ Lotes personalizados: Si deseas crear un lote, envíame la solicitud con los productos que quieras. ¡Yo me encargo!

#CamisaMangaLarga #CuadrosAmarilloNegro #BoyzoneFashion #BolsillosEnCamisa #EstiloBoyzone #RopaInvierno #FashionCuadros #CamisaAmarilloNegro #CuadrosBoyzone #VintedFashion #WallapopStyle #AmarilloNegroStyle #RopaCasual #EstiloInvernal #CamisaCuadros

Long Sleeve Shirt with Pockets Plaid Boyzone Yellow, Black
(ID: 83)

🎨 Color: Yellow, Black
📏 Measurements:
🔹 Width: 33 cm
🔹 Length: 55 cm
(For more measurements, feel free to ask)

👚 Size: 9-10a

✨ Condition: B+. Very good condition.

🎯 Discount: -5% for followers

🚚 Fast shipping: Shipped within 48 hours after purchase.

💸 Shipping costs: Adjusted to the minimum possible.

✅ Custom bundles: If you'd like to create a bundle, send me a request with the products you want. I'll take care of the rest!

#LongSleeveShirt #PlaidYellowBlack #BoyzoneStyle #ShirtWithPockets #WinterClothing #PlaidFashion #YellowBlackShirt #BoyzonePlaid #VintedFashion #WallapopStyle #YellowBlackStyle #CasualStyle #WinterStyle #PlaidShirt #BoyzoneFashion",1.3.2 Camisas manga larga ,Boyzone,"9-10a
Axila a Parte baja= 30cm
Cuello a Parte baja= 48cm
Espalda a Parte baja= 55cm
Hombro a Hombro= 32,5cm
Cintura= 38cm
Manga largo= 45cm
Manga ancho= 9,5cm","Amarillo, Negro",,B,06/02/23,,Familiares,"0,00€",,1,"Semi Nueva sin desperfectos, peso: 0,375",83
84,"Medias futbol Futbol Club Barcelona Nike Azul Marino, Granate","Medias futbol Futbol Club Barcelona Nike Azul Marino, Granate
(ID: 84)

🎨 Color: Azul Marino, Granate
📏 Medidas:
🔹 Ancho: 8.5 cm
🔹 Largo: 38 cm
(Para más medidas, no dudes en preguntar)

👚 Talla: 37-39

✨ Estado: B+. Muy buen estado.

🎯 Descuento: -5% para seguidores

🚚 Envío rápido: Realizado dentro de las 48h posteriores a la compra.

💸 Gastos de envío: Ajustados al mínimo posible.

✅ Lotes personalizados: Si deseas crear un lote, envíame la solicitud con los productos que quieras. ¡Yo me encargo!

#MediasFutbol #FCBarcelona #NikeFutbol #AzulMarinoGranate #AccesoriosDeportivos #EstiloFCB #FutbolNike #MediasAzulMarino #GranateFCB #VintedDeportes #BarcaStyle #NikeBarcelona #EquipamientoDeportivo #ColoresClub #FutbolAzulGranate

Football Socks FC Barcelona Nike Navy Blue, Maroon
(ID: 84)

🎨 Color: Navy Blue, Maroon
📏 Measurements:
🔹 Width: 8.5 cm
🔹 Length: 38 cm
(For more measurements, feel free to ask)

👚 Size: 37-39

✨ Condition: B+. Very good condition.

🎯 Discount: -5% for followers

🚚 Fast shipping: Shipped within 48 hours after purchase.

💸 Shipping costs: Adjusted to the minimum possible.

✅ Custom bundles: If you'd like to create a bundle, send me a request with the products you want. I'll take care of the rest!

#FootballSocks #FCBarcelona #NikeFootball #NavyBlueMaroon #SportsAccessories #FCBStyle #NikeFootball #NavyBlueSocks #MaroonFCB #VintedSports #BarcaStyle #NikeBarcelona #SportsGear #ClubColors #FootballBlueMaroon",1.1.8 Medias,Nike Futbol Club Barcelona ,"37- 39
largo completo = 38cm
ancho gemelo = 8cm
largo pie= 15cm
largo tobillo= 23cm
ancho pie = 8,5cm
","Azul Marino, Granate",,B,06/02/23,,Familiares,"0,00€",,1,"Semi Nueva sin desperfectos, peso: 0,075",84
85,Camiseta tirantes Abanderado Blanco,"Camiseta Tirantes Abanderado - Blanco
(ID: 85)

🎨 Color: Blanco
📏 Talla del Artículo: 14 años
✨ Estado: B+. Muy buen estado

📐 Medidas:
🔹 Ancho: 34 cm
🔹 Largo: 51 cm
(Para más medidas, no dudes en preguntar)

🎯 Descuento Exclusivo: -5% para seguidores
🚚 Envío Rápido: En un máximo de 48h tras la compra
💸 Gastos de Envío: Ajustados al mínimo posible
✅ Lotes Personalizados: Si deseas crear un lote, envíame la solicitud con los productos que desees.

#CamisetaTirantes #AbanderadoFashion #Blanco #RopaInterior #EstiloAbanderado #ModaBlanca #TirantesBlancos #FashionBlanco #VintedFashion #WallapopStyle #EstiloCasual #AbanderadoWhite #RopaInteriorBlanca #CamisetaBlanca #RopaConEstilo

Abanderado Sleeveless Shirt - White
(ID: 85)

🎨 Color: White
📏 Size: 14 years
✨ Condition: B+. Very good condition

📐 Measurements:
🔹 Width: 34 cm
🔹 Length: 51 cm
(For more measurements, feel free to ask)

🎯 Exclusive Discount: -5% for followers
🚚 Fast Shipping: Within 48 hours after purchase
💸 Shipping Costs: Adjusted to the minimum possible
✅ Custom Bundles: If you want to create a bundle, send me a request with the products you want.

#SleevelessShirt #AbanderadoFashion #White #UnderwearStyle #AbanderadoStyle #WhiteFashion #WhiteSleeveless #FashionWhite #VintedFashion #WallapopStyle #CasualStyle #AbanderadoWhite #WhiteUnderwear #WhiteShirt #StylishClothing",1.16.1 Camisetas Interiores de tirantes,Abanderado,"14a
Axila a Parte baja = 38cm
Cuello a Parte baja = 43,5cm
Espalda a Parte baja = 51cm
Hombro a Hombro = 26cm
Cintura = 34,5cm",Blanco,,B,06/02/23,,Familiares,"0,00€",,1,"Semi Nueva sin desperfectos, peso: 0,161",85
86,Camiseta tirantes Abanderado Blanco,"Camiseta Tirantes Abanderado - Blanco
(ID: 86)

🎨 Color: Blanco
📏 Talla del Artículo: 12 años
✨ Estado: B+. Muy buen estado

📐 Medidas:
🔹 Ancho: 31 cm
🔹 Largo: 51 cm
(Para más medidas, no dudes en preguntar)

🎯 Descuento Exclusivo: -5% para seguidores
🚚 Envío Rápido: En un máximo de 48h tras la compra
💸 Gastos de Envío: Ajustados al mínimo posible
✅ Lotes Personalizados: Si deseas crear un lote, envíame la solicitud con los productos que desees.

#CamisetaTirantes #AbanderadoFashion #Blanco #RopaInterior #EstiloAbanderado #ModaBlanca #TirantesBlancos #FashionBlanco #VintedFashion #WallapopStyle #EstiloCasual #AbanderadoWhite #RopaInteriorBlanca #CamisetaBlanca #RopaConEstilo

Abanderado Sleeveless Shirt - White
(ID: 86)

🎨 Color: White
📏 Size: 12 years
✨ Condition: B+. Very good condition

📐 Measurements:
🔹 Width: 31 cm
🔹 Length: 51 cm
(For more measurements, feel free to ask)

🎯 Exclusive Discount: -5% for followers
🚚 Fast Shipping: Within 48 hours after purchase
💸 Shipping Costs: Adjusted to the minimum possible
✅ Custom Bundles: If you want to create a bundle, send me a request with the products you want.

#SleevelessShirt #AbanderadoFashion #White #UnderwearStyle #AbanderadoStyle #WhiteFashion #WhiteSleeveless #FashionWhite #VintedFashion #WallapopStyle #CasualStyle #AbanderadoWhite #WhiteUnderwear #WhiteShirt #StylishClothing",1.16.1 Camisetas Interiores de tirantes,Abanderado,"12a
Axila a Parte baja = 37cm
Cuello a Parte baja = 42,5cm
Espalda a Parte baja = 51cm
Hombro a Hombro = 23,5cm
Cintura = 31cm",Blanco,,B,06/02/23,,Familiares,"0,00€",,1,"Semi Nueva sin desperfectos, peso: 0,150",86
87,Camiseta de tirantes Territory dmc Blanco,"Camiseta de Tirantes Territory DMC - Blanco
(ID: 87)

🎨 Color: Blanco
📏 Talla del Artículo: 16 años
✨ Estado: B+. Muy buen estado

📐 Medidas:
🔹 Ancho: 38 cm
🔹 Largo: 54 cm
(Para más medidas, no dudes en preguntar)

🎯 Descuento Exclusivo: -5% para seguidores
🚚 Envío Rápido: En un máximo de 48h tras la compra
💸 Gastos de Envío: Ajustados al mínimo posible
✅ Lotes Personalizados: Si deseas crear un lote, envíame la solicitud con los productos que desees.

#CamisetaTirantes #TerritoryDMC #Blanco #RopaVerano #EstiloTerritory #ModaBlanca #TirantesBlancos #FashionBlanco #VintedFashion #WallapopStyle #EstiloCasual #TerritoryDMCWhite #RopaVeraniega #CamisetaBlanca #RopaConEstilo

Territory DMC Sleeveless Shirt - White
(ID: 87)

🎨 Color: White
📏 Size: 16 years
✨ Condition: B+. Very good condition

📐 Measurements:
🔹 Width: 38 cm
🔹 Length: 54 cm
(For more measurements, feel free to ask)

🎯 Exclusive Discount: -5% for followers
🚚 Fast Shipping: Within 48 hours after purchase
💸 Shipping Costs: Adjusted to the minimum possible
✅ Custom Bundles: If you want to create a bundle, send me a request with the products you want.

#SleevelessShirt #TerritoryDMC #White #SummerClothing #TerritoryStyle #WhiteFashion #WhiteSleeveless #FashionWhite #VintedFashion #WallapopStyle #CasualStyle #TerritoryDMCWhite #SummerStyle #WhiteShirt #StylishClothing",1.16.1 Camisetas Interiores de tirantes,Territory dmc,"16a
Axila a Parte baja = 38,5cm
Cuello a Parte baja = 48cm
Espalda a Parte baja = 53,5cm
Hombro a Hombro = 28cm
Cintura = 37,5cm",Blanco,,B,06/02/23,,Familiares,"0,00€",,1,"Semi Nueva sin desperfectos, peso: 0,183",87
88,Camiseta tirantes Essentials Blanco,"Camiseta Tirantes Essentials - Blanco
(ID: 88)

🎨 Color: Blanco
📏 Talla del Artículo: 16 años
✨ Estado: B+. Muy buen estado

📐 Medidas:
🔹 Ancho: 38 cm
🔹 Largo: 56 cm
(Para más medidas, no dudes en preguntar)

🎯 Descuento Exclusivo: -5% para seguidores
🚚 Envío Rápido: En un máximo de 48h tras la compra
💸 Gastos de Envío: Ajustados al mínimo posible
✅ Lotes Personalizados: Si deseas crear un lote, envíame la solicitud con los productos que desees.

#CamisetaTirantes #Essentials #Blanco #RopaVerano #ModaBlanca #TirantesBlancos #FashionBlanco #VintedFashion #WallapopStyle #EstiloCasual #EssentialsWhite #RopaConEstilo #CamisetaBlanca #OutfitVerano #TendenciaBlanca

Essentials Sleeveless Shirt - White
(ID: 88)

🎨 Color: White
📏 Size: 16 years
✨ Condition: B+. Very good condition

📐 Measurements:
🔹 Width: 38 cm
🔹 Length: 56 cm
(For more measurements, feel free to ask)

🎯 Exclusive Discount: -5% for followers
🚚 Fast Shipping: Within 48 hours after purchase
💸 Shipping Costs: Adjusted to the minimum possible
✅ Custom Bundles: If you want to create a bundle, send me a request with the products you want.

#SleevelessShirt #Essentials #White #SummerClothing #WhiteFashion #WhiteSleeveless #FashionWhite #VintedFashion #WallapopStyle #CasualStyle #EssentialsWhite #SummerStyle #WhiteShirt #StylishClothing",1.16.1 Camisetas Interiores de tirantes,Essentials,"16a
Axila a Parte baja = 38cm
Cuello a Parte baja = 46cm
Espalda a Parte baja = 53,5cm
Hombro a Hombro = 27cm
Cintura = 35,5cm",Blanco,,B,06/02/23,,Familiares,"0,00€",,1,"Semi Nueva sin desperfectos, peso: 0,181",88
89,Camiseta tirantes Pera Blanco,"Camiseta Tirantes Pera - Blanco
(ID: 89)

🎨 Color: Blanco
📏 Talla del Artículo: 14 años
✨ Estado: C. Muy buen estado, pero con algunas manchas

📐 Medidas:
🔹 Ancho: 30 cm
🔹 Largo: 55 cm
(Para más medidas, no dudes en preguntar)

🎯 Descuento Exclusivo: -5% para seguidores
🚚 Envío Rápido: En un máximo de 48h tras la compra
💸 Gastos de Envío: Ajustados al mínimo posible
✅ Lotes Personalizados: Si deseas crear un lote, envíame la solicitud con los productos que desees.

#CamisetaTirantes #Pera #Blanco #RopaVerano #ModaBlanca #TirantesBlancos #FashionBlanco #VintedFashion #WallapopStyle #EstiloCasual #PeraWhite #RopaConEstilo #CamisetaBlanca #OutfitVerano #TendenciaBlanca

Pera Sleeveless Shirt - White
(ID: 89)

🎨 Color: White
📏 Size: 14 years
✨ Condition: C. Very good condition, but with some stains

📐 Measurements:
🔹 Width: 30 cm
🔹 Length: 55 cm
(For more measurements, feel free to ask)

🎯 Exclusive Discount: -5% for followers
🚚 Fast Shipping: Within 48 hours after purchase
💸 Shipping Costs: Adjusted to the minimum possible
✅ Custom Bundles: If you want to create a bundle, send me a request with the products you want.

#SleevelessShirt #Pera #White #SummerClothing #WhiteFashion #WhiteSleeveless #FashionWhite #VintedFashion #WallapopStyle #CasualStyle #PeraWhite #SummerStyle #WhiteShirt #StylishClothing",1.16.1 Camisetas Interiores de tirantes,Pera ,"14a
Axila a Parte baja = 36,5cm
Cuello a Parte baja = 49cm
Espalda a Parte baja = 54,5cm
Hombro a Hombro = 22,5cm
Cintura = 30cm",Blanco,,C,06/02/23,,Familiares,"0,00€",,1,"Semi Nueva sin desperfectos, peso: 0,150",89
90,Camiseta tirantes Abanderado Blanco,"Camiseta Tirantes Abanderado - Blanco
(ID: 90)

🎨 Color: Blanco
📏 Talla del Artículo: 14 años
✨ Estado: C. Muy buen estado, pero con algunas manchas

📐 Medidas:
🔹 Ancho: 36 cm
🔹 Largo: 49 cm
(Para más medidas, no dudes en preguntar)

🎯 Descuento Exclusivo: -5% para seguidores
🚚 Envío Rápido: En un máximo de 48h tras la compra
💸 Gastos de Envío: Ajustados al mínimo posible
✅ Lotes Personalizados: Si deseas crear un lote, envíame la solicitud con los productos que desees.

#CamisetaTirantes #AbanderadoFashion #Blanco #RopaInterior #EstiloAbanderado #ModaBlanca #TirantesBlancos #FashionBlanco #VintedFashion #WallapopStyle #EstiloCasual #AbanderadoWhite #RopaInteriorBlanca #CamisetaBlanca #RopaConEstilo

Abanderado Sleeveless Shirt - White
(ID: 90)

🎨 Color: White
📏 Size: 14 years
✨ Condition: C. Very good condition, but with some stains

📐 Measurements:
🔹 Width: 36 cm
🔹 Length: 49 cm
(For more measurements, feel free to ask)

🎯 Exclusive Discount: -5% for followers
🚚 Fast Shipping: Within 48 hours after purchase
💸 Shipping Costs: Adjusted to the minimum possible
✅ Custom Bundles: If you want to create a bundle, send me a request with the products you want.

#SleevelessShirt #AbanderadoFashion #White #UnderwearStyle #AbanderadoStyle #WhiteFashion #WhiteSleeveless #FashionWhite #VintedFashion #WallapopStyle #CasualStyle #AbanderadoWhite #WhiteUnderwear #WhiteShirt #StylishClothing",1.16.1 Camisetas Interiores de tirantes,Abanderado ,"14a
Axila a Parte baja = 3,5cm
Cuello a Parte baja = 42cm
Espalda a Parte baja = 49cm
Hombro a Hombro = 22,5cm
Cintura = 36cm",Blanco,,"
C",06/02/23,,Familiares,"0,00€",,1,"Semi Nueva sin desperfectos, peso: 0,165",90
91,Camiseta tirantes Territory dmc Gris,"Camiseta Tirantes Territory DMC - Gris
(ID: 91)

🎨 Color: Gris
📏 Talla del Artículo: 14 años
✨ Estado: B+. Muy buen estado

📐 Medidas:
🔹 Ancho: 37 cm
🔹 Largo: 53 cm
(Para más medidas, no dudes en preguntar)

🎯 Descuento Exclusivo: -5% para seguidores
🚚 Envío Rápido: En un máximo de 48h tras la compra
💸 Gastos de Envío: Ajustados al mínimo posible
✅ Lotes Personalizados: Si deseas crear un lote, envíame la solicitud con los productos que desees.

#CamisetaTirantes #TerritoryDMC #Gris #RopaVerano #ModaGris #TirantesGris #FashionGris #VintedFashion #WallapopStyle #EstiloCasual #TerritoryDMCGray #RopaConEstilo #CamisetaGris #OutfitVerano #TendenciaGris

Territory DMC Sleeveless Shirt - Gray
(ID: 91)

🎨 Color: Gray
📏 Size: 14 years
✨ Condition: B+. Very good condition

📐 Measurements:
🔹 Width: 37 cm
🔹 Length: 53 cm
(For more measurements, feel free to ask)

🎯 Exclusive Discount: -5% for followers
🚚 Fast Shipping: Within 48 hours after purchase
💸 Shipping Costs: Adjusted to the minimum possible
✅ Custom Bundles: If you want to create a bundle, send me a request with the products you want.

#SleevelessShirt #TerritoryDMC #Gray #SummerClothing #GrayFashion #GraySleeveless #FashionGray #VintedFashion #WallapopStyle #CasualStyle #TerritoryDMCGray #SummerStyle #GrayShirt #StylishClothing",1.16.1 Camisetas Interiores de tirantes,Territory dmc ,"16a
Axila a Parte baja = 38cm
Cuello a Parte baja = 47cm
Espalda a Parte baja = 53cm
Hombro a Hombro = 30cm
Cintura = 36,5cm",Gris,,B,06/02/23,,Familiares,"0,00€",,1,"Semi Nueva sin desperfectos, peso: 0,181",91
92,"Polo manga larga rayas Gocco Azul, Granate","Polo Manga Larga Rayas Gocco - Azul, Granate
(ID: 92)

🎨 Color: Azul, Granate
📏 Talla del Artículo: 10 años
✨ Estado: B+. Muy buen estado

📐 Medidas:
🔹 Ancho: 40 cm
🔹 Largo: 54 cm
(Para más medidas, no dudes en preguntar)

🎯 Descuento Exclusivo: -5% para seguidores
🚚 Envío Rápido: En un máximo de 48h tras la compra
💸 Gastos de Envío: Ajustados al mínimo posible
✅ Lotes Personalizados: Si deseas crear un lote, envíame la solicitud con los productos que desees.

#PoloMangaLarga #GoccoFashion #RayasAzulGranate #EstiloGocco #RopaInvierno #FashionRayas #PoloAzulGranate #RayasGocco #VintedFashion #WallapopStyle #AzulGranateStyle #RopaCasual #EstiloInvernal #PoloRayado #ModaGocco

Gocco Long Sleeve Striped Polo - Blue, Maroon
(ID: 92)

🎨 Color: Blue, Maroon
📏 Size: 10 years
✨ Condition: B+. Very good condition

📐 Measurements:
🔹 Width: 40 cm
🔹 Length: 54 cm
(For more measurements, feel free to ask)

🎯 Exclusive Discount: -5% for followers
🚚 Fast Shipping: Within 48 hours after purchase
💸 Shipping Costs: Adjusted to the minimum possible
✅ Custom Bundles: If you want to create a bundle, send me a request with the products you want.

#LongSleevePolo #GoccoFashion #StripedBlueMaroon #GoccoStyle #WinterClothing #StripedFashion #BlueMaroonPolo #StripedGocco #VintedFashion #WallapopStyle #BlueMaroonStyle #CasualClothing #WinterStyle #StripedPolo #GoccoFashion",1.4.2 Polos manga larga ,Gocco,"10a
Axila a Parte baja= 36,5cm
Cuello a Parte baja= 34,5cm
Espalda a Parte baja= 54cm
Hombro a Hombro= 40cm
Cintura= 45cm
Manga largo= 50cm
Manga ancho= 12cm","Azul, Granate",,B,06/02/23,,Familiares,"0,00€",,1,"Semi Nueva sin desperfectos, peso: 0,489",92
